conf_block_hash,fee_rate_median,fee_rate_mean,mempool_size_median,mempool_size_mean,mempool_tx_count_median,n_txs
0000000000000000000011c818d50acc70e48dff4a03ef57e1e78c72f6ffff42,2.0,2.825870646766169,16499379.013888888,16499379.013888888,40114.041666666664,201
000000000000000000001301dbdf514ae45ad1342fe7b6832896663f2ffd1db2,1.5,3.1594827586206895,406222.93055555556,406222.93055555556,1076.1875,464
00000000000000000000130a36e2bea76fabbbe44cd2dc8bc287bbd02f63caf7,2.0,2.236220472440945,31391867.875,31391867.875,10441.791666666666,127
0000000000000000000013142860fca1fbca4b51cc83d39d8d7b2e7621c6cc34,3.0,4.701834862385321,1954193.125,1991467.3616526504,5019.048611111111,436
00000000000000000000133c790eea2eec71ba86bfb1db0bb7f897f309e2539b,4.0,5.012765957446809,19649538.409722224,19608412.978240743,93168.05555555556,705
00000000000000000000135f4bcbd2354d2022611e59af6bdf781c08c1d77ece,4.0,5.49104320337197,19649538.409722224,19528718.870331347,93168.05555555556,949
0000000000000000000013742182139d9d45ede7df5417d27f6b753408cd2d1d,2.0,3.2422535211267607,18041085.076388888,18165396.940825507,79352.86111111111,710
0000000000000000000013c3406ac0cc250fca53c3a7920e4e0d1f7390981032,2.0,7.576923076923077,333886.15972222225,333886.15972222225,1136.076388888889,130
000000000000000000001428120a75dbf31748b5b51f13bddf9cb37613e1970f,1.0,2.0157170923379173,1229296.013888889,1104820.4956068546,4200.847222222223,509
0000000000000000000014400c9b528fc861a2a9246d20dfde5cbe3f97003e08,2.0,2.5279605263157894,563624.4027777778,563624.4027777778,1778.173611111111,608
0000000000000000000014536e353b4643dde2d6b08aeff8ae00b07c2755db96,4.0,4.851963746223565,29560800.270833332,29581811.234271847,74130.22222222222,993
0000000000000000000014873da45e52d0fee5e93178812c8a0994ab0e43f074,1.0,3.007339449541284,606150.5833333334,606150.5833333334,1858.361111111111,545
000000000000000000001496cf8c3e09383848e40a9467a8acea96e630d4dbde,2.0,3.098676293622142,1342218.1597222222,1343334.8488601418,4596.145833333333,831
0000000000000000000014b0e0c3ffdcd0c6f82f657121f2e5c5dea8833d7c39,3.0,4.661498708010336,755690.2638888889,755690.2638888889,2782.527777777778,774
0000000000000000000014f670519367d70fbbff504b799e8f9c9ace328a5a5b,4.0,5.491141732283465,32320791.527777776,32306734.656058617,86959.6875,1016
000000000000000000001552d6d064c0465d220bfa7b8a084a49948871c10e62,2.0,3.2062780269058297,355259.0,355259.0,1194.6944444444443,223
00000000000000000000158443ed9112c7ed88ac24c94cc6ab33b4a445289c73,2.0,3.8196948682385576,592039.6388888889,592039.6388888889,1673.625,721
0000000000000000000015c26ff2cf14b0a6bb25d4b0737d720348947e287d6b,2.0,2.8941018766756033,20915998.0,20915998.0,55419.5625,746
00000000000000000000163170193e3e2a0bae20aa12088da01dec4b26fe7e2c,2.0,4.2756849315068495,20532476.229166668,20532476.229166668,89999.23611111111,584
00000000000000000000167281e2b71d64d3fa3029984982b028e5a8faeb0f02,1.0,1.1369509043927648,28558971.5,27964574.390252654,68703.88888888889,387
000000000000000000001672b5c3d29bc963d44bc3d3ff903234f4a793055157,1.0,1.8779527559055118,19528637.770833332,19528637.770833332,86055.1875,254
000000000000000000001684dceec7995099d269cb17559f8ac43a4cb7ff41d4,2.0,3.2447552447552446,1049097.1527777778,1049097.1527777778,1684.1319444444443,143
00000000000000000000168b46052971424ff2ca15986efdedfa590b28773d4d,4.0,5.084942084942085,18194608.680555556,18191052.471989848,86954.15277777778,777
0000000000000000000016c3df4e73dd3a5ce77560bb7bb82b586079aadeffdf,1.0,2.1502145922746783,427268.9791666667,427268.9791666667,1571.5555555555557,466
0000000000000000000016da54a5876a23609de8b11bb047035ef19b94a03d58,2.0,3.263803680981595,672817.7132867132,672817.7132867132,1984.9650349650349,163
00000000000000000000170a9ba7c267afcfb4121a72b1e22ce688cfef26aa19,3.0,4.177184466019417,27701243.972222224,26979068.72800364,86828.70138888889,412
0000000000000000000017842f034c30984f9aaedd845798f40cafa8b63f7103,2.0,2.6443914081145583,637120.3263888889,699907.1591255635,1947.576388888889,419
0000000000000000000017b91c921a9597e6fc50671b3dfff1c141f69d9cdbb7,1.0,2.1808510638297873,15274317.097222222,14919028.728021571,71228.64583333333,188
0000000000000000000017c21ba4d965d49b3abf033fae713d96195e7ae99b06,1.0,2.0787037037037037,23010232.618055556,23010232.618055556,59940.01388888889,216
0000000000000000000017cccbc8f179f5efc80e8e2622498554233196e29e18,3.0,4.834730538922155,18112894.756944444,18112894.756944444,64084.333333333336,835
00000000000000000000182daa37237a533107a6c94a70d547d74dbbb0226785,2.0,2.1229813664596273,21893174.125,22099813.809644584,97229.5,805
0000000000000000000018898cb1c34464ba196755bc8872faf5b3a5ce994b01,2.0,2.8401206636500755,348018.7916666667,348018.7916666667,1140.5347222222222,663
0000000000000000000018bf43c9712d00066ff2c81a97f274d01b21b88fbd53,2.0,2.802139037433155,29212483.0625,29116361.543337792,64190.84027777778,187
000000000000000000001903f508253e687c7b1c0ca7185b3f2a539e2f4d6b0b,5.0,5.721280602636535,24496157.541666668,24496161.631604414,102718.43055555556,1062
00000000000000000000191d482e114f0c6ded27fe368a5ea4d6e214d858bd6c,1.0,1.4605954465849387,871005.7083333334,810033.0099241098,2682.25,571
0000000000000000000019a2bc7789d97e1fe54fb5028737bae97eb7a8b5ac3a,1.0,2.18974358974359,299607.69444444444,356914.6034188034,941.4861111111111,195
000000000000000000001a7e1d4d17a66398152375e01769b7582a5d076f881c,1.0,2.695876288659794,18737518.8125,18737518.8125,83418.16666666667,582
000000000000000000001ac2bccd68e0525d0aaa47cfaab6cb5009edb8cdc988,2.0,2.0374149659863945,1373392.6875,1470577.3819444445,4281.770833333333,588
000000000000000000001ad26acc540b75286885599f37c34f789c0c789188d8,1.0,2.236842105263158,966651.4861111111,966651.4861111111,3147.5833333333335,304
000000000000000000001bf003f8385dbc81dd7e2bbfefb8cb44b6e2b4460975,1.0,1.5846153846153845,343933.72222222225,339333.0597222223,913.1736111111111,65
000000000000000000001c1938513891be9e8dace41ec9c1679f02631cf6ab5f,2.0,2.9406952965235176,506798.84722222225,506798.84722222225,1330.1875,489
000000000000000000001c8a3ea1e41582f263754659bcefc40351c368fcf7e5,1.0,2.8382978723404255,415881.46527777775,415881.46527777775,1299.7222222222222,235
000000000000000000001c93565973e85ca738de0480ecb7353029bcda8dc77f,1.0,2.5287713841368586,549030.4861111111,549030.4861111111,1690.986111111111,643
000000000000000000001ca0598805740cc6ddee233fca047f34fe3de1400d35,2.0,2.7240802675585285,485580.5,1290725.3198857303,1594.0416666666667,598
000000000000000000001ce4cd2ef1e41c6647c89fed6423c0c05202781c5321,1.0,1.963235294117647,30250798.5,30106462.94219771,83233.04166666667,680
000000000000000000001d298edd6cb734917b403858b57a42a88a7192ecefaf,4.0,5.256619144602851,20633661.722222224,20210179.61241231,95029.04861111111,982
000000000000000000001d4734e2c5f1dcc81108a51a8e59880fba80c9423cd2,1.0,1.1363636363636365,518226.625,590271.4502525253,1317.6944444444443,110
000000000000000000001d8328846724fc1d03281da1ee820cc9c14d6e52b793,3.0,9.588235294117647,550150.3333333334,550150.3333333334,1788.638888888889,17
000000000000000000001df4da5f0bdb7f7412c5ab88da2fbe0e89a9d52d7889,2.0,3.3563049853372435,1005328.8402777778,1134960.2698965461,2862.0138888888887,682
000000000000000000001e6094a96c99228902431868c7831fd3780ad5ca4c37,2.0,3.533969010727056,25376896.020833332,25376896.020833332,79545.27083333333,839
000000000000000000001e754e9e2483935231e2d963d86d9f57a6ba08ad1fec,3.0,5.806966618287373,2609659.5724137933,2609659.5724137933,2721.6689655172413,689
000000000000000000001edb75104f357949f6943cde0cc5170fef01673cc3b2,2.0,3.261455525606469,344177.22222222225,344177.22222222225,1002.2013888888889,371
000000000000000000001f43e22ace17d935044aad54ccf2a2a81c837e63b5f9,1.0,3.2184873949579833,20462692.527777776,20238217.122140523,81675.80555555556,595
000000000000000000001f45f734d00be7855691e580b7616994dcd0e3848201,2.0,2.553829078801332,1708376.6458333333,1844697.9595125786,6521.138888888889,901
000000000000000000001f6ef0a0ea450afe450824426eebba068aec472b6256,2.0,2.754226267880364,492380.65972222225,492380.65972222225,1429.2430555555557,769
000000000000000000002049a0d9fa4a8e86997016cdfeac3f35d0f82c2e69a1,2.0,3.4384615384615387,22951848.611111112,22951848.611111112,65513.305555555555,260
0000000000000000000020674495a982621d7a2dd446254823b82f2c4188385f,1.0,3.3048327137546467,539681.0972222222,539681.0972222222,1488.6180555555557,269
000000000000000000002083b399e7a761a10f0ab5e7cc53323b3d79690a329b,2.0,4.194877505567929,1006008.1944444445,1006008.1944444445,2685.097222222222,898
00000000000000000000213e3bb91daad14a1f43410c7cddbfa9cdc6e5880f0a,3.0,4.6905882352941175,18864898.666666668,18864898.666666668,56046.395833333336,850
00000000000000000000222066e764a57d674c76156d0821b2c6b82ec5576fae,3.0,4.42948717948718,19965568.125,19937975.73655627,77968.27777777778,780
0000000000000000000022b9b9455019bf310cf9f655bbefcd42cda731267f9d,1.0,2.753846153846154,3667963.5657894737,3422231.2485115505,3305.059210526316,65
0000000000000000000022e3f6082a7ceed0c9e6c688db94db3778c3aa5cdbd7,2.0,2.771493212669683,31391867.875,31391867.875,10441.791666666666,442
0000000000000000000022f29733cc423d70acf00ab3798da772b9473f91596e,6.0,7.583912611717974,24649079.861111112,24686865.93247269,108128.21527777778,1007
00000000000000000000233872f87c5eeed5e9159ba65c7415fb8fb1481879f8,2.0,3.2266081871345027,1190874.736111111,1190874.736111111,3614.8055555555557,684
000000000000000000002361480418ed1357ce6f457793da1d4548056f208b84,1.0,2.2288359788359786,24496746.25,24431818.154366918,66065.83333333333,756
0000000000000000000023b1c8eb308d50ee238fc9ca04b374f8381d8c39d43b,3.0,4.249110320284697,15677242.097222222,15675325.438966323,64710.34027777778,843
00000000000000000000242948ed7c8ae10670d5890867c776a284c84a70dd38,2.0,2.9162717219589256,20923461.243055556,20923461.243055556,80908.32638888889,633
00000000000000000000247526dcdab1df2e8540bccf8d8b7dae6e2d1b8fad55,2.0,3.1779141104294477,9370944.583333334,9370944.583333334,6314.166666666667,326
0000000000000000000024ef55df89da73aff17bd550a940ceac263a61c11120,3.0,3.535031847133758,17563895.194444444,17563895.194444444,43714.45138888889,157
0000000000000000000025046f9537cfd69144317174cb63a048bb22fd451a74,2.0,2.4542815674891147,18902363.305555556,18902363.305555556,47879.1875,689
0000000000000000000025063a3ab51e960e56d53f8860e07b95dd9a71061d7c,1.0,2.927601809954751,16361922.590277778,16361922.590277778,79690.04166666667,442
00000000000000000000255ade1da63093408609f1fc0f4b7893866d7199f6d5,2.0,3.831168831168831,270418.05555555556,270418.05555555556,881.4583333333334,154
0000000000000000000025607962bc69ea2a8096e779648f7c08c2ac6c7f3c84,2.0,2.546031746031746,472704.74305555556,472704.74305555556,1683.9305555555557,315
00000000000000000000257322ff54dd719177974f6f429333033a6070ede944,2.0,2.888888888888889,16983461.493055556,16983461.493055556,63955.708333333336,45
0000000000000000000026573aeb6d09d92d00e8bb7ad7a8e5dae2be5552189c,2.0,2.8450704225352115,770138.6944444445,766392.1965717919,2356.590277777778,568
0000000000000000000026d03dd5347b2f2ed6fb6d05cefe28d6019ed2d3ea9b,1.0,2.2139737991266375,16361922.590277778,16375551.79788331,79690.04166666667,229
00000000000000000000270e793a32a739a9408b9a9d25fcb4b5c7c5394e9664,1.0,3.1176470588235294,31153060.979166668,31153060.979166668,8312.416666666666,136
0000000000000000000027346070993c71b7a7fb5ce4452f1c0b649f6d778700,1.0,1.5682926829268293,32594475.137931034,32666790.35900118,4725.944827586207,410
00000000000000000000279233713bc244818b045b646d92c3f92ccfc14604c0,1.0,1.6353887399463807,21161193.006944444,20773634.57628649,92660.42361111111,746
0000000000000000000027d4599a3a953a8cd1f7265183d62d0979d625813092,3.0,4.234880450070324,401276.97222222225,401276.97222222225,1136.3819444444443,711
00000000000000000000280cffa2da6179c2a8a8528964e0351482862d298569,2.0,2.6927710843373496,18041085.076388888,18041085.076388888,79352.86111111111,664
